Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
7.66616E+17,"For those who are just about to leave home, validity of coupon code ""SINDHU"" extended till 6.30pm. #GoSindhu",Ola,Olacabs,Fri Aug 19 12:41:09 +0000 2016,22,11,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,0,1,0
7.66983E+17,@Girliyapa We think it could and we've already started implementing this in our cabs.,Ola,Olacabs,Sat Aug 20 13:00:36 +0000 2016,2,0,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,0,1
7.67625E+17,@Varsaw Rosary Church seems like a very intriguing place. #OlaOutstation,Ola,Olacabs,Mon Aug 22 07:30:23 +0000 2016,0,0,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,1,1
7.67626E+17,@SuperMonk5 Tamhini ghats is indeed an amazing place to visit. #OlaOutstation #offbeat,Ola,Olacabs,Mon Aug 22 07:35:31 +0000 2016,1,1,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,2,1
7.67627E+17,"Shop till you drop! More details - https://t.co/2EVKzz2nTK. 
Shop Now - https://t.co/eTuQSaMdUf https://t.co/65lhxwXsEV",Ola,Olacabs,Mon Aug 22 07:39:44 +0000 2016,0,2,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,Photo,https://pbs.twimg.com/media/CqNPjQQUEAAZ8Ai.jpg ,2,0,0
7.67643E+17,Are you a hard-core #Chennai-ite? Ready to put your knowledge about the city you love to the test? #MadrasDay quiz coming up #OlaMadras,Ola,Olacabs,Mon Aug 22 08:41:52 +0000 2016,20,22,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,0,3,0
7.67646E+17,**Contest Alert** The #MadrasDay quiz coming up! @ContestBoard @C0NTESTINDIA @Contest_Hub @thefreejinn #OlaMadras https://t.co/g0UMppfoFB,Ola,Olacabs,Mon Aug 22 08:52:05 +0000 2016,16,14,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,1,2,3
7.67653E+17,"@MadhanG91 coming soon, Madhan! RT and spread the news.",Ola,Olacabs,Mon Aug 22 09:21:58 +0000 2016,1,1,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,0,1
7.67655E+17,"A month's worth of free rides in #Chennai, up for grabs! #OlaMadras #MadrasDay",Ola,Olacabs,Mon Aug 22 09:28:27 +0000 2016,19,16,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,0,3,0
7.67659E+17,@MorePratikesh Great choice. #OlaOutstation,Ola,Olacabs,Mon Aug 22 09:45:10 +0000 2016,1,1,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,1,1
